units_sold_360,units_sold,partType,vehicleMaxQty,isDevelopment,make,category,subCat,year,TotalVIO,HasPartsAuthorityPurchased,HasWorldPacPurchased,HasSSFPurchased,sale_year_rank
217,412,Suspension Strut Bumper,2,False,Mini,Suspension,Mountings & Bushings,2017,147500,True,True,True,4
117,159,High Intensity Discharge Headlight Control Module,2,False,Saab,Electrical,Headlamps,2021,1271944,True,True,False,2
25,26,HVAC Heater Hose,1,True,Volvo,Cooling,"Hoses, Pipes, Tubes",2018,15726,False,True,True,9
854,964,Engine Valve Cover,1,True,BMW,Engine,Engine Mechanical,2021,202000,True,True,True,2
594,129,Suspension Kit,1,False,Volkswagen,Suspension,Control Arms,2016,1043438,True,False,False,4
136,6,Disc Brake Pad Wear Sensor,1,False,Jaguar,Brakes,Sensors & Senders,2019,33276,False,True,False,0
45,40,Suspension Control Arm,1,False,BMW,Suspension,Control Arms,2020,134127,True,True,False,6
513,460,Ignition Lock Cylinder,1,False,Mercedes-Benz,Electrical,Miscellaneous,2021,100360,True,False,False,6
124,109,HVAC Heater Hose,1,False,Jaguar,Cooling,"Hoses, Pipes, Tubes",2019,7348,True,True,False,20
53,29,HVAC Heater Hose,1,False,Volvo,Cooling,"Hoses, Pipes, Tubes",2016,21720,False,True,False,17
179,197,Engine Coolant Temperature Switch,1,False,BMW,Electrical,"Relays, Switches, Solenoids",2019,514660,True,False,False,4
579,524,Engine Coolant Temperature Switch,1,False,Isuzu,Electrical,"Relays, Switches, Solenoids",2018,334622,False,True,False,12
7,7,Engine Crankshaft Pulley,1,False,Audi,Engine,Pulleys & Tensioners,2020,144734,False,True,False,1
845,1381,Brake Light Switch,1,False,Mercedes-Benz,Electrical,"Relays, Switches, Solenoids",2017,349356,True,True,False,8
579,372,Engine Coolant Temperature Switch,1,False,Mazda,Electrical,"Relays, Switches, Solenoids",2017,334622,False,True,False,11
43,719,Suspension Control Arm Bushing,2,True,Volvo,Suspension,Mountings & Bushings,2016,110593,True,True,True,7
1628,1727,Engine Crankcase Vent Valve,1,False,Volkswagen,Fuel,Emissions,2017,143912,True,True,True,5
