units_sold,id,firstSold,vehicleMaxQty,isDevelopment,make,category,year,TotalVIO,SaleYearRank,HasPartsAuthorityPurchased,HasWorldPacPurchased,HasSSFPurchased
73,16~134503,2006-01-19 20:00:00.000,1,False,BMW,Cooling,2016,10371,11,True,True,False
172,16~134506,2006-01-19 20:00:00.000,1,False,BMW,Cooling,2020,151134,15,True,True,False
219,16~134506,2006-01-19 20:00:00.000,1,False,BMW,Cooling,2019,151134,14,True,True,False
316,16~134506,2006-01-19 20:00:00.000,1,False,BMW,Cooling,2018,151134,13,True,True,False
361,16~134506,2006-01-19 20:00:00.000,1,False,BMW,Cooling,2017,151134,12,True,True,False
339,16~134506,2006-01-19 20:00:00.000,1,False,BMW,Cooling,2016,151134,11,True,True,False
281,16~125674,2006-01-19 20:00:00.000,1,False,BMW,Cooling,2020,39682,15,True,True,True
243,16~125674,2006-01-19 20:00:00.000,1,False,BMW,Cooling,2019,39682,14,True,True,True
285,16~125674,2006-01-19 20:00:00.000,1,False,BMW,Cooling,2018,39682,13,True,True,True
73,16~125674,2006-01-19 20:00:00.000,1,False,BMW,Cooling,2017,39682,12,True,True,True
80,16~125674,2006-01-19 20:00:00.000,1,False,BMW,Cooling,2016,39682,11,True,True,True
249,16~127366,2006-01-19 20:00:00.000,1,False,BMW,Cooling,2020,25378,15,True,True,True
204,16~127366,2006-01-19 20:00:00.000,1,False,BMW,Cooling,2019,25378,14,True,True,True
376,16~127366,2006-01-19 20:00:00.000,1,False,BMW,Cooling,2018,25378,13,True,True,True
304,16~127366,2006-01-19 20:00:00.000,1,False,BMW,Cooling,2017,25378,12,True,True,True
351,16~127366,2006-01-19 20:00:00.000,1,False,BMW,Cooling,2016,25378,11,True,True,True
143,16~127369,2006-01-19 20:00:00.000,1,False,BMW,Cooling,2020,35605,15,True,True,False
149,16~127369,2006-01-19 20:00:00.000,1,False,BMW,Cooling,2019,35605,14,True,True,False
137,16~127369,2006-01-19 20:00:00.000,1,False,BMW,Cooling,2018,35605,13,True,True,False
129,16~127369,2006-01-19 20:00:00.000,1,False,BMW,Cooling,2017,35605,12,True,True,False
171,16~127369,2006-01-19 20:00:00.000,1,False,BMW,Cooling,2016,35605,11,True,True,False
54,16~127372,2006-01-19 20:00:00.000,1,False,BMW,Cooling,2020,33936,15,True,True,False
44,16~127372,2006-01-19 20:00:00.000,1,False,BMW,Cooling,2019,33936,14,True,True,False
41,16~127372,2006-01-19 20:00:00.000,1,False,BMW,Cooling,2018,33936,13,True,True,False
187,16~127372,2006-01-19 20:00:00.000,1,False,BMW,Cooling,2017,33936,12,True,True,False
316,16~127372,2006-01-19 20:00:00.000,1,False,BMW,Cooling,2016,33936,11,True,True,False
39,16~127375,2006-01-19 20:00:00.000,1,False,BMW,Cooling,2020,33886,15,True,True,False
48,16~127375,2006-01-19 20:00:00.000,1,False,BMW,Cooling,2019,33886,14,True,True,False
30,16~127375,2006-01-19 20:00:00.000,1,False,BMW,Cooling,2018,33886,13,True,True,False
55,16~127375,2006-01-19 20:00:00.000,1,False,BMW,Cooling,2017,33886,12,True,True,False
26,16~127375,2006-01-19 20:00:00.000,1,False,BMW,Cooling,2016,33886,11,True,True,False
33,16~125704,2006-01-19 20:00:00.000,1,False,BMW,Cooling,2020,14765,15,True,True,False
27,16~125704,2006-01-19 20:00:00.000,1,False,BMW,Cooling,2019,14765,14,True,True,False
63,16~125704,2006-01-19 20:00:00.000,1,False,BMW,Cooling,2018,14765,13,True,True,False
82,16~125704,2006-01-19 20:00:00.000,1,False,BMW,Cooling,2017,14765,12,True,True,False
72,16~125704,2006-01-19 20:00:00.000,1,False,BMW,Cooling,2016,14765,11,True,True,False
283,16~125710,2006-01-19 20:00:00.000,1,False,BMW,Cooling,2020,31427,15,True,True,True
212,16~125710,2006-01-19 20:00:00.000,1,False,BMW,Cooling,2019,31427,14,True,True,True
362,16~125710,2006-01-19 20:00:00.000,1,False,BMW,Cooling,2018,31427,13,True,True,True
140,16~125710,2006-01-19 20:00:00.000,1,False,BMW,Cooling,2017,31427,12,True,True,True
116,16~125710,2006-01-19 20:00:00.000,1,False,BMW,Cooling,2016,31427,11,True,True,True
21,49~125713,2006-01-19 20:00:00.000,1,False,BMW,Cooling,2020,2509,15,True,True,False
8,49~125713,2006-01-19 20:00:00.000,1,False,BMW,Cooling,2019,2509,14,True,True,False
14,49~125713,2006-01-19 20:00:00.000,1,False,BMW,Cooling,2018,2509,13,True,True,False
9,49~125713,2006-01-19 20:00:00.000,1,False,BMW,Cooling,2017,2509,12,True,True,False
15,49~125713,2006-01-19 20:00:00.000,1,False,BMW,Cooling,2016,2509,11,True,True,False
32,16~125770,2006-01-19 20:00:00.000,1,False,BMW,Cooling,2020,5208,15,False,False,True
32,16~125770,2006-01-19 20:00:00.000,1,False,BMW,Cooling,2019,5208,14,False,False,True
37,16~125770,2006-01-19 20:00:00.000,1,False,BMW,Cooling,2018,5208,13,False,False,True
34,16~125770,2006-01-19 20:00:00.000,1,False,BMW,Cooling,2017,5208,12,False,False,True
25,16~125770,2006-01-19 20:00:00.000,1,False,BMW,Cooling,2016,5208,11,False,False,True
7,16~125773,2006-01-19 20:00:00.000,1,False,BMW,Cooling,2020,3939,15,False,True,False
