VendorPartNo,Sales Year,Make,Category,IsDevelopment,Total VIO,FirstSoldDate,vehicleMaxQty,PartsAuthority,SSF,Worldpac,PartsAuthority Sales count,SSF Sales count,WorldPac Sales count,UnitsSold360 Sales count,Total Units Sold Sales count,SalesYearRank
03644608,2018,Volvo,Electrical,0,194047,2008-03-14,1,1,0,0,8.0,0.0,0.0,0.0,76.0,11
03644608,2019,Volvo,Electrical,0,194047,2008-03-14,1,1,0,0,137.0,0.0,0.0,465.0,626.0,12
03644608,2020,Volvo,Electrical,0,194047,2008-03-14,1,1,0,0,71.0,0.0,0.0,0.0,334.0,13
03645801,2018,Mercedes-Benz,Electrical,0,328054,2006-11-14,1,0,0,1,1.0,0.0,0.0,0.0,120.0,13
03645801,2019,Mercedes-Benz,Electrical,0,328054,2006-11-14,1,0,0,1,0.0,0.0,2.0,285.0,180.0,14
03645801,2020,Mercedes-Benz,Electrical,0,328054,2006-11-14,1,0,0,1,0.0,0.0,5.0,0.0,250.0,15
03645823,2018,Mercedes-Benz,Electrical,0,3056060,2018-08-20,1,0,1,1,0.0,0.0,0.0,0.0,34.0,1
03645823,2019,Mercedes-Benz,Electrical,0,3056060,2018-08-20,1,0,1,1,0.0,63.0,1.0,221.0,177.0,2
03645823,2020,Mercedes-Benz,Electrical,0,3056060,2018-08-20,1,0,1,1,0.0,56.0,1.0,0.0,172.0,3
03645825,2018,Mercedes-Benz,Electrical,0,385177,2018-08-06,1,0,1,0,0.0,0.0,0.0,0.0,37.0,1
03645825,2019,Mercedes-Benz,Electrical,0,385177,2018-08-06,1,0,1,0,0.0,0.0,8.0,166.0,71.0,2
03645825,2020,Mercedes-Benz,Electrical,0,385177,2018-08-06,1,0,1,0,0.0,85.0,0.0,0.0,137.0,3
03663802,2018,Volkswagen,Electrical,0,2570212,2018-02-02,1,1,0,1,2.0,0.0,0.0,0.0,101.0,1
03663802,2019,Volkswagen,Electrical,0,2570212,2018-02-02,1,1,0,1,55.0,0.0,0.0,526.0,284.0,2
03663802,2020,Volkswagen,Electrical,0,2570212,2018-02-02,1,1,0,1,205.0,0.0,2.0,0.0,453.0,3
03664401,2018,Mini,Electrical,0,4319930,2007-07-24,1,1,1,0,50.0,107.0,0.0,0.0,282.0,12
03664401,2019,Mini,Electrical,0,4319930,2007-07-24,1,1,1,0,769.0,389.0,0.0,2631.0,2061.0,13
03664401,2020,Mini,Electrical,0,4319930,2007-07-24,1,1,1,0,880.0,408.0,0.0,0.0,2165.0,14
03664402,2018,BMW,Electrical,0,314675,2018-02-02,1,0,0,0,0.0,0.0,0.0,0.0,21.0,1
03664402,2019,BMW,Electrical,0,314675,2018-02-02,1,0,0,0,0.0,0.0,0.0,14.0,4.0,2
03664402,2020,BMW,Electrical,0,314675,2018-02-02,1,0,0,0,0.0,0.0,0.0,0.0,17.0,3
03664403,2018,Mini,Electrical,0,1785101,2018-02-02,1,1,0,0,0.0,0.0,0.0,0.0,44.0,1
03664403,2019,Mini,Electrical,0,1785101,2018-02-02,1,1,0,0,0.0,0.0,0.0,154.0,105.0,2
03664403,2020,Mini,Electrical,0,1785101,2018-02-02,1,1,0,0,54.0,0.0,0.0,0.0,130.0,3
03664405,2018,BMW,Electrical,0,918854,2018-02-02,1,0,0,0,0.0,0.0,0.0,0.0,229.0,1
03664405,2019,BMW,Electrical,0,918854,2018-02-02,1,0,0,0,0.0,0.0,0.0,519.0,566.0,2
03664405,2020,BMW,Electrical,0,918854,2018-02-02,1,0,0,0,0.0,0.0,0.0,0.0,406.0,3
