VendorPartNo,Make,vehicleMaxQty,Category,IsDevelopment,Worldpac,PartsAuthority,SSF,WorldPac(2016),PartsAuthority(2016),SSF(2016),Total Units Sold(2016),WorldPac(2017),PartsAuthority(2017),SSF(2017),Total Units Sold(2017),WorldPac(2018),PartsAuthority(2018),SSF(2018),Total Units Sold(2018),WorldPac(2019),PartsAuthority(2019),SSF(2019),Total Units Sold(2019),WorldPac(2020),PartsAuthority(2020),SSF(2020),Total Units Sold(2020),UnitsSold360,VIO_US,VIO_CANADA,FirstSoldDate
SF-009F-1,Scion,1,Body,,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,13500458,0,09/04/20
SF-005E-4,Volkswagen,1,Body,,No,No,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,20,20,677007,123777,09/03/20
LAA-33108,Hummer,2,Brakes,,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,21,4260677,0,09/03/20
SF-045A-1,BMW,1,Body,,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,1827722,195310,09/03/20
1003 - black,,0,,,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,09/02/20
SF-04AG-4,Audi,1,Body,,No,No,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,13,23090,6039,09/02/20
SF-04AG-3,Audi,1,Body,,No,No,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,15,23090,6039,09/02/20
LAA-ZT00A,Nissan,1,Brakes,,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,508938,0,09/02/20
06J 121 132D,,0,,,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,161,0,0,09/02/20
301406,BMW,1,Suspension,,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,278394,65382,09/02/20
LAA-ZT00AB,Nissan,1,Brakes,,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,56,508938,0,09/02/20
SF-0045-3,Mini,1,Body,,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,1673483,146661,09/01/20
SF-0045-4,Mini,1,Body,,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1673483,146661,09/01/20
SF-005E-1,Volkswagen,1,Body,,No,No,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,32,32,677686,118624,09/01/20
