units_sold,partType,vehicleMaxQty,isDevelopment,make,category,subCat,year,TotalVIO,no_of_days,HasPartsAuthorityPurchased,HasWorldPacPurchased,HasSSFPurchased,sale_year_rank
14,Suspension Strut Mount,2,False,Volkswagen,Suspension,Mountings & Bushings,2018,2582,365,False,False,False,7
148,HVAC Heater Hose,1,False,Land Rover,Cooling,"Hoses, Pipes, Tubes",2019,15013,365,True,True,False,16
19671,Engine Valve Cover Washer Seal,22,True,Land Rover,Engine,Gaskets & Seals,2017,1203139,365,True,True,False,5
23,Door Mirror Switch,1,False,Volkswagen,Electrical,"Relays, Switches, Solenoids",2016,1024130,211,False,False,False,0
211,Suspension Control Arm Bushing Kit,2,False,Mercedes-Benz,Suspension,Mountings & Bushings,2017,75491,365,True,True,False,13
156,HVAC Heater Hose,1,False,Saab,Cooling,"Hoses, Pipes, Tubes",2017,51126,365,True,True,True,6
258,Engine Oil Pan,1,False,Volkswagen,Engine,Engine Mechanical,2020,156833,365,True,True,False,6
19,Defroster Switch,1,False,Jaguar,Electrical,"Relays, Switches, Solenoids",2020,8460,365,True,False,False,19
1949,Drive Belt Tensioner Pulley,1,False,Volvo,Engine,Pulleys & Tensioners,2016,664735,365,True,True,False,7
7,Disc Brake Pad Wear Sensor,1,False,Jaguar,Brakes,Sensors & Senders,2020,7673,365,False,False,False,7
86,Engine Water Pump,1,False,Mercury,Cooling,Water Pumps,2020,70202,365,False,True,False,6
146,Air Cleaner Seal,1,False,Mercedes-Benz,Fuel,Gaskets & Seals,2017,91775,365,True,True,True,3
87,Engine Crankcase Vent Valve,1,False,Audi,Fuel,Emissions,2016,9795,365,False,True,False,2
218,Door Window Switch,1,False,Volkswagen,Electrical,"Relays, Switches, Solenoids",2020,66746,365,True,True,False,5
21,Door Window Switch,1,False,Mercedes-Benz,Electrical,"Relays, Switches, Solenoids",2019,48549,365,True,True,False,14
114,Starter Motor,1,False,Land Rover,Electrical,Engine Electrical,2019,92923,365,True,True,False,13
43,Accelerator Pedal,1,True,Porsche,Body,"Cables, Controls, Levers",2020,29767,365,True,True,True,2
15,Engine Water Pump,1,False,Volkswagen,Cooling,Water Pumps,2019,418419,365,True,True,False,9
22,Radiator Coolant Hose Flange,1,False,Volkswagen,Cooling,Flanges & Housings,2018,4960,365,True,False,False,4
277,Window Channel,1,False,MG,Body,Gaskets & Seals,2019,31842,365,False,False,False,20
14,Engine Crankshaft Pulley,1,False,Audi,Engine,Pulleys & Tensioners,2018,39288,186,True,True,False,0
65,Radiator Coolant Hose,1,False,Mercedes-Benz,Cooling,"Hoses, Pipes, Tubes",2020,15073,365,True,True,False,18
7,Radiator Coolant Hose,1,False,Jaguar,Cooling,"Hoses, Pipes, Tubes",2019,775,365,False,False,False,11
126,Engine Coolant Reservoir Cap,1,False,GMC,Cooling,Caps & Boots,2020,18601405,365,True,True,False,2
28,HVAC Servo,1,False,Volkswagen,Climate Control,Motors & Servos,2016,207317,365,True,True,False,2
71,A/C Drive Belt Tensioner,1,False,BMW,Engine,Pulleys & Tensioners,2018,59742,365,True,False,True,2
190,A/C Expansion Valve,1,False,Mercedes-Benz,Climate Control,Expansion Valve,2017,168476,365,True,True,False,14
140,Hood Release Handle,1,True,BMW,Body,Miscellaneous,2019,207772,273,True,True,True,0
170,Engine Intake Manifold Cover Cap,4,True,Audi,Engine,Gaskets & Seals,2018,910398,104,True,True,False,0
97,Windshield Seal,1,False,Mercedes-Benz,Body,Gaskets & Seals,2016,1445,365,False,True,False,17
119,Bumper Impact Strip,1,False,BMW,Body,Bumpers & Moldings,2016,101030,365,True,True,True,9
18,HVAC Heater Blend Door Actuator,1,False,Cadillac,Climate Control,Motors & Servos,2019,160999,365,False,True,False,1
146,Body Seal Kit,1,False,Mercedes-Benz,Body,Gaskets & Seals,2016,3375,365,True,True,False,3
187,Drive Shaft Center Support,1,False,Volvo,Drivetrain & Hub,Driveshaft,2018,60108,365,True,True,False,19
86,Headlight Bulb,2,False,Seat,Electrical,Headlamps,2018,4073409,30,True,True,False,0
1735,Engine Coolant Thermostat Housing,1,False,Jaguar,Cooling,Flanges & Housings,2020,60745,365,True,True,True,13
29,Engine Crankshaft Pulley,1,False,Volkswagen,Engine,Pulleys & Tensioners,2018,119239,331,True,True,False,0
38,Engine Mount,1,False,BMW,Engine,Mountings & Bushings,2018,130355,365,False,False,False,8
5,Fog Light Trim Set,1,False,Mercedes-Benz,Accessories,Exterior Trim,2018,59993,365,False,False,False,11
142,Turn Signal Switch,1,False,Mercedes-Benz,Electrical,"Relays, Switches, Solenoids",2016,110933,365,True,False,True,6
2330,Engine Valve Cover,1,False,Audi,Engine,Engine Mechanical,2020,127117,365,True,True,True,3
16,Suspension Control Arm Bushing Kit,1,False,BMW,Suspension,Mountings & Bushings,2020,2037,365,True,False,True,5
177,Air Filter Housing Strap,4,True,Porsche,Engine,Engine Mechanical,2017,3922,159,True,True,True,0
24,Electric Fuel Pump,1,False,Volkswagen,Fuel,Fuel Supply,2019,3479,365,True,False,False,2
79,Suspension Control Arm,1,False,Audi,Suspension,Control Arms,2019,75379,365,True,True,False,3
40,Radiator Coolant Hose,1,False,Mercedes-Benz,Cooling,"Hoses, Pipes, Tubes",2020,19489,365,False,True,False,21
1148,Door Window Switch,2,False,BMW,Electrical,"Relays, Switches, Solenoids",2017,107635,365,True,True,True,11
32,A/C Expansion Valve,1,False,Mercedes-Benz,Climate Control,Expansion Valve,2016,171622,365,True,True,False,11
60,Suspension Control Arm,1,False,BMW,Suspension,Control Arms,2017,243519,303,True,False,False,0
4,Exterior Door Handle Cover / Scuff Plate Set,1,False,Mercedes-Benz,Accessories,Exterior Trim,2020,54637,365,False,False,False,21
6,Exterior Door Handle Cover,1,False,Land Rover,Accessories,Exterior Trim,2019,25696,365,False,False,False,9
118,Engine Intake Manifold Cover,1,False,Audi,Fuel,Emissions,2016,130416,365,True,True,True,6
200,Vent Window Weatherstrip,1,False,Porsche,Body,Gaskets & Seals,2017,16760,365,False,True,True,10
249,Engine Water Pump,1,False,Volkswagen,Cooling,Water Pumps,2018,1049773,365,True,True,False,7
378,Automatic Transmission Oil Pan Gasket,1,False,Mercedes-Benz,Transmission,Gaskets & Seals,2016,1282403,365,True,True,False,9
362,Door Window Switch,2,False,BMW,Electrical,"Relays, Switches, Solenoids",2016,144629,365,True,False,True,11
92,Engine Oil Pressure Sensor,1,False,Porsche,Electrical,Sensors & Senders,2020,19301,365,True,True,True,14
98,Fuel Pump Module Assembly,1,False,Volkswagen,Fuel,Fuel Supply,2016,178253,365,True,True,True,2
475,Steering Tie Rod End,1,False,Saab,Steering,Steering,2016,50928,365,True,True,True,7
