sales_range,firstSold,vehicleMaxQty,isDevelopment,make,category,year,TotalVIO,SaleYearRank,HasPartsAuthorityPurchased,HasWorldPacPurchased,HasSSFPurchased
[1 - 25],2020-12-14 16:05:04.117,1,False,Nissan,Brakes,2021,263856,2,True,False,False
[1 - 25],2020-12-14 16:05:04.117,1,False,Nissan,Brakes,2020,263856,1,True,False,False
[26 - 50],2020-12-14 15:28:46.580,1,False,Land Rover,Cooling,2020,29256,1,True,False,False
[151 - 300],2020-12-11 18:12:53.657,1,True,Porsche,Engine,2021,68467,2,True,False,True
[51 - 150],2020-12-11 18:12:53.657,1,True,Porsche,Engine,2020,68467,1,True,False,True
[1 - 25],2020-12-11 02:36:59.683,1,False,Buick,Engine,2021,546193,2,False,False,False
[1 - 25],2020-12-11 02:36:59.683,1,False,Buick,Engine,2020,546193,1,False,False,False
[1 - 25],2020-12-11 02:36:59.683,1,False,Chevrolet,Engine,2021,546193,2,False,False,False
[1 - 25],2020-12-11 02:36:59.683,1,False,Chevrolet,Engine,2020,546193,1,False,False,False
[1 - 25],2020-12-11 02:36:59.683,1,False,GMC,Engine,2021,546193,2,False,False,False
[1 - 25],2020-12-11 02:36:59.683,1,False,GMC,Engine,2020,546193,1,False,False,False
[1 - 25],2020-12-11 02:36:59.683,1,False,Pontiac,Engine,2021,546193,2,False,False,False
[1 - 25],2020-12-11 02:36:59.683,1,False,Pontiac,Engine,2020,546193,1,False,False,False
[1 - 25],2020-12-11 02:36:59.683,1,False,Saab,Engine,2021,546193,2,False,False,False
[1 - 25],2020-12-11 02:36:59.683,1,False,Saab,Engine,2020,546193,1,False,False,False
[1 - 25],2020-12-11 02:36:59.683,1,False,Saturn,Engine,2021,546193,2,False,False,False
[1 - 25],2020-12-11 02:36:59.683,1,False,Saturn,Engine,2020,546193,1,False,False,False
[1 - 25],2020-12-11 02:36:07.807,1,False,Volvo,Engine,2020,29034,1,False,False,False
[1 - 25],2020-12-10 20:14:02.230,1,True,Volvo,Fuel,2021,168351,2,True,False,True
[1 - 25],2020-12-10 20:14:02.230,1,True,Volvo,Fuel,2020,168351,1,True,False,True
[1 - 25],2020-12-09 20:00:55.887,2,False,Infiniti,Engine,2021,610644,2,False,False,False
[1 - 25],2020-12-09 20:00:55.887,2,False,Infiniti,Engine,2020,610644,1,False,False,False
[1 - 25],2020-12-09 20:00:55.887,2,False,Nissan,Engine,2021,610644,2,False,False,False
[1 - 25],2020-12-09 20:00:55.887,2,False,Nissan,Engine,2020,610644,1,False,False,False
[1 - 25],2020-12-09 20:00:55.860,1,False,Hyundai,Engine,2021,1156295,2,False,False,False
[1 - 25],2020-12-09 20:00:55.860,1,False,Hyundai,Engine,2020,1156295,1,False,False,False
[1 - 25],2020-12-09 20:00:55.860,1,False,Kia,Engine,2021,1156295,2,False,False,False
[1 - 25],2020-12-09 20:00:55.860,1,False,Kia,Engine,2020,1156295,1,False,False,False
[1 - 25],2020-12-09 20:00:55.817,1,False,Audi,Transmission,2021,202140,2,True,False,True
[1 - 25],2020-12-09 20:00:55.817,1,False,Audi,Transmission,2020,202140,1,True,False,True
[1 - 25],2020-12-09 20:00:55.817,1,False,Porsche,Transmission,2021,202140,2,True,False,True
[1 - 25],2020-12-09 20:00:55.817,1,False,Porsche,Transmission,2020,202140,1,True,False,True
[1 - 25],2020-12-09 20:00:55.790,1,False,BMW,Climate Control,2021,497270,2,True,False,False
[1 - 25],2020-12-09 20:00:55.790,1,False,BMW,Climate Control,2020,497270,1,True,False,False
[1 - 25],2020-12-09 20:00:55.720,2,True,BMW,Fuel,2021,1414890,2,True,False,True
[51 - 150],2020-12-09 20:00:55.720,2,True,BMW,Fuel,2020,1414890,1,True,False,True
[1 - 25],2020-12-09 20:00:55.687,3,True,BMW,Engine,2021,78839,2,True,False,True
[51 - 150],2020-12-09 20:00:55.687,3,True,BMW,Engine,2020,78839,1,True,False,True
[26 - 50],2020-12-09 20:00:55.647,1,False,BMW,Engine,2021,26922,2,True,False,False
[1 - 25],2020-12-09 20:00:55.647,1,False,BMW,Engine,2020,26922,1,True,False,False
[1 - 25],2020-12-08 17:15:40.270,1,False,Nissan,Brakes,2021,263856,2,True,False,False
[1 - 25],2020-12-08 17:15:40.270,1,False,Nissan,Brakes,2020,263856,1,True,False,False
[1 - 25],2020-12-03 22:22:13.340,1,False,Audi,Engine,2021,30421,2,True,False,False
[1 - 25],2020-12-03 22:22:13.340,1,False,Audi,Engine,2020,30421,1,True,False,False
[1 - 25],2020-12-03 22:05:04.513,1,False,Land Rover,Cooling,2020,2884,1,False,False,False
[1 - 25],2020-12-01 18:38:07.680,1,False,Mercedes-Benz,Body,2020,8056,1,False,False,False
[1 - 25],2020-12-01 00:30:59.670,1,False,Mercedes-Benz,Engine,2021,104002,2,True,False,True
[1 - 25],2020-12-01 00:30:59.670,1,False,Mercedes-Benz,Engine,2020,104002,1,True,False,True
[51 - 150],2020-11-30 22:42:24.897,1,False,BMW,Engine,2021,869233,2,True,False,False
[1 - 25],2020-11-30 22:42:24.897,1,False,BMW,Engine,2020,869233,1,True,False,False
[1 - 25],2020-11-30 20:27:10.680,2,False,Mercedes-Benz,Suspension,2020,23007,1,False,False,False
[51 - 150],2020-11-26 00:38:37.700,1,True,Porsche,Fuel,2021,26923,2,True,False,True
[51 - 150],2020-11-26 00:38:37.700,1,True,Porsche,Fuel,2020,26923,1,True,False,True
[1 - 25],2020-11-25 00:41:08.980,1,True,Porsche,Engine,2021,29792,2,True,False,True
[26 - 50],2020-11-25 00:41:08.980,1,True,Porsche,Engine,2020,29792,1,True,False,True
[1 - 25],2020-11-23 21:35:19.580,1,True,Mini,Engine,2021,168538,2,False,False,True
[1 - 25],2020-11-23 21:35:19.580,1,True,Mini,Engine,2020,168538,1,False,False,True
[151 - 300],2020-11-23 21:34:58.967,1,False,Mercedes-Benz,Cooling,2021,110579,2,True,False,True
